"county","popn","white","black","hisp","geq65","highsc","coll","income","buch","bush","gore","totmb"
"Alachua",198326,74.4,21.8,4.7,9.4,82.7,34.6,19412,263,34124,47365,85445
"Baker",20761,82.4,16.8,1.5,7.7,64.1,5.7,14859,73,5610,2392,8078
"Bay",146223,84.2,12.4,2.4,11.9,74.7,15.7,17838,248,38637,18850,58530
"Bradford",24646,76.1,22.9,2.6,11.8,65,8.1,13681,65,5414,3075,8605
"Brevard",460977,88.3,9.2,4.1,16.5,82.3,20.4,19567,570,115185,97318,217749
"Broward",1470758,80.3,17.5,10.9,20.3,76.8,18.8,24706,788,177323,386561,572484
"Calhoun",12337,81.6,16.9,1.6,14.3,55.9,8.2,12570,90,2873,2155,5081
"Charlotte",133681,94.3,4.4,3.4,33.4,75.7,13.4,18977,182,35426,29645,66702
"Citrus",112454,96.2,2.8,2.5,30.7,68.6,10.4,16060,270,29765,25525,56902
"Clay",135179,91,6,3.5,7.9,81.2,17.9,18598,186,41736,14632,57158
"Collier",195731,93.3,5.7,17.1,21.5,79,22.3,30906,122,60433,29918,91990
"Columbia",52856,78.3,20.5,1.9,12.3,69,11,15349,89,10964,7047,18414
"DeSoto",26259,80.6,18.1,12.1,18,54.5,7.6,16544,36,4256,3320,7767
"Dixie",12563,89.8,9.5,1.2,14.4,57.7,6.2,12035,29,2697,1826,4635
"Duval",732622,69.4,27.5,3.4,10.7,76.9,18.4,20686,652,152098,107864,263943
"Escambia",282604,73.3,22.7,2.6,11.7,76.2,18.2,17661,502,73017,40943,116126
"Flagler",46128,88.5,9.8,5.9,23,78.7,17.3,15613,83,12613,13897,27016
"Franklin",10133,84.5,14.5,1,17.8,59.5,12.4,15735,33,2454,2046,4609
"Gadsden",45441,37.6,61.8,2.9,11.6,59.9,11.2,14416,38,4767,9735,14683
"Gilchrist",13367,90,9.3,2.1,13,63,7.4,12865,29,3300,1910,5362
"Glades",9698,79.6,13.7,10.1,15.3,57.4,7.1,14789,9,1841,1442,3355
"Gulf",13926,73.9,25.2,1.1,13.6,66.4,9.2,15482,71,3550,2397,6064
"Hamilton",12521,56.3,43,3.6,10.9,58.4,7,12357,23,2146,1722,3937
"Hardee",22113,93.1,5.9,28.4,13.3,54.8,8.6,16812,30,3765,2339,6200
"Hendry",31634,78.2,18.8,26.6,9.9,56.6,10,17823,22,4747,3240,8114
"Hernando",125537,94.4,4.6,4,29.6,70.5,9.7,16062,242,30646,32644,64955
"Highlands",76854,87.1,11.6,6.7,32.4,68.2,10.9,17655,127,20206,14167,35014
"Hillsboroug",909444,82.8,14.9,16,12.3,75.6,20.2,20167,847,180760,169557,359294
"Holmes",18382,91.7,6.5,1.7,15.5,57.1,7.4,12790,76,5011,2177,7317
"Indian Rive",99215,89.2,9.9,3.9,26.6,76.5,19.1,28977,105,28635,19768,49507
"Jackson",45706,69.5,29.6,3.5,14.4,61.6,10.9,15519,102,9138,6868,16191
"Jefferson",13232,49.4,50.1,1.3,13.4,64.1,14.7,15574,29,2478,3041,5613
"Lafayette",6289,83,16.4,5.1,10.7,58.2,5.2,13663,10,1670,789,2495
"Lake",196214,88.2,10.9,3.8,26.3,70.6,12.7,18269,289,50010,36571,88307
"Lee",387091,91.1,7.8,5.9,24.4,76.9,16.4,22053,305,106141,73560,183976
"Leon",215170,70.4,27.3,3.1,8.4,84.9,37.1,16705,282,39053,61425,102800
"Levy",32254,84.4,14.2,2.6,17.6,62.8,8.3,13745,67,6858,5398,12645
"Liberty",6703,78.1,20.9,3.1,10.7,56.7,7.3,14896,39,1317,1017,2369
"Madison",17558,53.9,45.6,1.9,13.8,56.5,9.7,13002,29,3038,3014,6128
"Manatee",237159,89.8,9,5.8,27.8,75.6,15.5,23031,271,57952,49177,109924
"Marion",237308,84.3,14.6,4,21.4,69.6,11.5,14502,563,55141,44665,102344
"Martin",116087,91.8,6.9,6.2,26.6,79.7,20.3,31996,112,33970,26620,61887
"Miami-Dade",2044600,77,21.2,54.4,14.4,65,18.8,20014,560,289492,328764,624678
"Monroe",81919,92.3,6.2,15.8,15.9,79.7,20.3,25160,47,16059,16483,33824
"Nassau",54096,87.3,11.9,1.5,9.8,71.2,21.5,20874,90,16280,6879,23488
"Okaloosa",167580,85.3,10.3,4.2,9.1,83.8,21,18959,267,52093,16948,70393
"Okeechobee",33102,91.1,7.5,14.8,14.6,59.1,9.8,15162,43,5057,4588,9806
"Orange",783974,79.1,17.5,12.3,10.4,78.8,21.2,20469,446,134517,140220,279633
"Osceola",142128,90.7,6.6,15.3,13.2,73.7,11.2,16256,145,26212,28181,55479
"Palm Beach",1018524,83.9,14.4,9.8,23.7,78.8,22.1,33518,3407,152846,268945,428776
"Pasco",320253,96.5,2.3,4.4,32,66.9,9.1,16924,570,68582,69564,142084
"Pinellas",871766,89.1,9,3.1,26.6,78.1,18.5,24796,1013,184823,200629,397286
"Polk",448646,83.3,15.4,5.3,18.2,68,12.9,17824,532,90180,75193,167918
"Putnam",70430,78.1,20.9,3.4,17.6,64.3,8.3,14250,148,13447,12102,26062
"St. Johns",114481,92.6,4.6,2,8.9,78.5,18.6,17127,311,36274,12802,49989
"St. Lucie",301644,94,5.1,2.8,32.3,81.3,21.9,30205,305,83100,72853,160578
"Santa Rosa",344729,87.4,9.8,8.4,10.1,84.6,26.3,21815,194,75677,59174,137414
"Sarasota",112707,88.7,10.1,3,15.6,79.9,23.6,25637,229,39546,19502,60504
"Seminole",179559,79.6,19,5.2,20.1,71.7,13.1,16483,124,34705,41559,77836
"Sumter",39428,81,18.1,3.1,20.3,64.3,7.8,14606,114,12127,9637,22130
"Suwannee",33077,82.2,16.9,2,15.8,63.8,8.2,14773,108,8006,4075,12328
"Taylor",18718,77.1,21.5,1.3,12.7,62.1,9.8,15459,27,4056,2649,6780
"Union",12359,71,27.8,4.8,7,67.7,7.9,10783,37,2332,1407,3789
"Volusia",419797,88,10.5,5,22.7,75.4,14.8,17778,496,82214,97063,182691
"Wakulla",19172,83.9,14.9,0.9,10.9,71.6,10.9,15570,46,4512,3838,8535
"Walton",37914,88.9,8.6,1.2,14.9,66.5,11.9,14866,120,12182,5642,18180
"Washington",20221,79.7,17.6,1.5,16.4,60.9,7.4,13732,88,4994,2798,7928
